id;content;content_sha_256;s_3_content_key;s_3_bucket;page_number;language;word_count;has_structured_data;structured_data;structured_data_s_3_key;extracted_date;job_id
1;../fake-data/blob/hipster.txt;heartfelt buzzing jazz;gymnast the low;kissingly hawk beneficial;11717;possession;22869;true;../fake-data/blob/hipster.txt;bookcase;2025-12-24T13:11:27;1
2;../fake-data/blob/hipster.txt;charter;frenetically;shallow notwithstanding;18034;cycle inci;25731;true;../fake-data/blob/hipster.txt;viability boo;2025-12-24T10:29:49;2
3;../fake-data/blob/hipster.txt;badly quintessential reflate;readies parody;challenge woot;28236;guest who;30054;false;../fake-data/blob/hipster.txt;likable;2025-12-25T05:37:40;3
4;../fake-data/blob/hipster.txt;boo;ghost fumigate;electronics countess lava;25032;bide broad;7871;true;../fake-data/blob/hipster.txt;below tightly;2025-12-24T23:14:27;4
5;../fake-data/blob/hipster.txt;oof wholly sense;spark unlike superior;inasmuch hmph;23748;till;1253;false;../fake-data/blob/hipster.txt;nor riser;2025-12-25T08:02:10;5
6;../fake-data/blob/hipster.txt;oh potentially;against angle;meanwhile;9510;following ;19257;false;../fake-data/blob/hipster.txt;preside stale unto;2025-12-25T01:51:05;6
7;../fake-data/blob/hipster.txt;meanwhile drain keenly;furthermore;unethically;30789;weatherize;21474;false;../fake-data/blob/hipster.txt;disposer;2025-12-24T23:47:33;7
8;../fake-data/blob/hipster.txt;pushy before;although into;nice;30980;economise ;28448;true;../fake-data/blob/hipster.txt;honestly who fen;2025-12-24T14:18:51;8
9;../fake-data/blob/hipster.txt;chainstay celebrated;ugh mmm general;kissingly;14062;dreamily;6499;true;../fake-data/blob/hipster.txt;phew;2025-12-25T08:43:28;9
10;../fake-data/blob/hipster.txt;sadly ornery vivaciously;patiently sashay;casement;27146;long pfft;887;true;../fake-data/blob/hipster.txt;make quaver hornet;2025-12-25T03:56:47;10
