id;document_id;document_sha_256;page_number;tika_text;tika_confidence;ai_text;ai_confidence;similarity;differences;differences_s_3_key;selected_engine;selected_by;selected_date;comparison_date;metadata
1;3707;cake;24084;../fake-data/blob/hipster.txt;0.64;../fake-data/blob/hipster.txt;0.24;0.27;../fake-data/blob/hipster.txt;stint;HYBRID;given;2025-12-24T16:28:59;2025-12-25T02:02:44;../fake-data/blob/hipster.txt
2;14281;um beautifully;7850;../fake-data/blob/hipster.txt;0.87;../fake-data/blob/hipster.txt;0.6;0.21;../fake-data/blob/hipster.txt;useless meh;HYBRID;towards but;2025-12-24T15:11:09;2025-12-24T23:46:50;../fake-data/blob/hipster.txt
3;29116;and legging fleck;1514;../fake-data/blob/hipster.txt;0.54;../fake-data/blob/hipster.txt;0.59;0.18;../fake-data/blob/hipster.txt;representation;TIKA_TESSERACT;come;2025-12-25T06:13:08;2025-12-25T06:58:03;../fake-data/blob/hipster.txt
4;21221;into;32285;../fake-data/blob/hipster.txt;0.37;../fake-data/blob/hipster.txt;0.92;0.53;../fake-data/blob/hipster.txt;huzzah status;HYBRID;provided ascertain alongside;2025-12-25T02:53:37;2025-12-24T16:56:07;../fake-data/blob/hipster.txt
5;20530;whose fibre neglected;11145;../fake-data/blob/hipster.txt;0.95;../fake-data/blob/hipster.txt;0.07;0.39;../fake-data/blob/hipster.txt;monstrous;ANTHROPIC_CLAUDE;trick eek;2025-12-25T08:52:05;2025-12-25T09:16:39;../fake-data/blob/hipster.txt
6;29145;whose mostly after;31160;../fake-data/blob/hipster.txt;0.41;../fake-data/blob/hipster.txt;0.11;0.8;../fake-data/blob/hipster.txt;times;AWS_TEXTRACT;replacement;2025-12-25T00:59:36;2025-12-24T17:49:18;../fake-data/blob/hipster.txt
7;25756;than;2718;../fake-data/blob/hipster.txt;0.85;../fake-data/blob/hipster.txt;0.96;0.24;../fake-data/blob/hipster.txt;absentmindedly alongside;OPENAI_VISION;huzzah pish merry;2025-12-25T09:20:51;2025-12-25T06:26:56;../fake-data/blob/hipster.txt
8;6136;toward;16502;../fake-data/blob/hipster.txt;0.45;../fake-data/blob/hipster.txt;0.16;0.71;../fake-data/blob/hipster.txt;enrage internalise fraudster;CUSTOM;over right triumphantly;2025-12-25T03:42:42;2025-12-24T16:27:33;../fake-data/blob/hipster.txt
9;24069;premeditation indelible neatly;25519;../fake-data/blob/hipster.txt;0.61;../fake-data/blob/hipster.txt;0.69;0.31;../fake-data/blob/hipster.txt;hydrant unto;HYBRID;lest instead;2025-12-24T14:25:51;2025-12-25T08:49:22;../fake-data/blob/hipster.txt
10;29537;jagged justly ouch;1038;../fake-data/blob/hipster.txt;0.77;../fake-data/blob/hipster.txt;0.88;0.79;../fake-data/blob/hipster.txt;swiftly;TIKA_TESSERACT;overfeed;2025-12-25T02:53:55;2025-12-25T08:40:50;../fake-data/blob/hipster.txt
