id;status;document_id;document_sha_256;s_3_key;s_3_bucket;requested_language;detected_language;language_confidence;ocr_engine;tika_endpoint;ai_provider;ai_model;result_cache_key;is_cached;start_date;end_date;error_message;page_count;progress;retry_count;priority;processing_time;cost_estimate;created_date;created_by
1;FAILED;29469;continually;hmph offensively but;excluding off;but superf;consequent;0.78;TIKA_NATIVE;in-joke instead;baggy hmph;naturally boo;elegantly scholarship collaborate;true;2025-12-20T10:30:57;2025-12-19T16:10:38;../fake-data/blob/hipster.txt;17658;42;29498;14248;5079;22258.18;2025-12-19T17:22:37;very lotion gah
2;RETRYING;4058;regarding instead inasmuch;than;after prickly;boohoo pac;linear;0.35;AZURE_VISION;oh uh-huh;supposing;willing weighty;brr scorn inconsequential;true;2025-12-19T19:10:51;2025-12-19T19:37:32;../fake-data/blob/hipster.txt;11794;25;28701;10528;14696;23797.57;2025-12-20T06:04:15;suffocate
3;COMPLETED;28690;pneumonia gah psst;besides that unlike;tomorrow;pro jiggle;sedately s;1;ANTHROPIC_CLAUDE;frankly liberalize;deflate bleakly concerning;about pro natural;enthusiastically;true;2025-12-20T04:39:20;2025-12-19T21:55:24;../fake-data/blob/hipster.txt;29450;89;12528;8930;5142;2873.17;2025-12-19T20:36:59;lest so
4;COMPLETED;7114;diversity resort;duh mindless;facilitate er hmph;pish curry;lean;0.06;CUSTOM;failing unaware before;blah huzzah;jealous not;orientate gleefully geez;false;2025-12-19T20:53:05;2025-12-20T15:01:53;../fake-data/blob/hipster.txt;13988;8;13190;23858;6352;11794.11;2025-12-19T17:23:19;ah
5;COMPLETED;19168;midst aw unfortunately;um veto;guard;franticall;modulo int;0.01;AZURE_VISION;till solidly near;hassle flame whereas;via alongside;ugh;false;2025-12-19T22:19:08;2025-12-20T06:19:09;../fake-data/blob/hipster.txt;9561;10;22087;20484;17623;27248.21;2025-12-20T01:41:38;so millet hopelessly
6;COMPLETED;14106;since indeed;strait briefly;hmph sans helplessly;bobble pry;impractica;0.05;AWS_TEXTRACT;vicinity;outnumber plain failing;hmph as;indeed;true;2025-12-19T16:17:18;2025-12-20T04:23:27;../fake-data/blob/hipster.txt;2742;70;6357;2645;28290;25573.14;2025-12-20T07:55:19;er tarry lest
7;PENDING;12363;while whenever;athwart;apropos agreement;uh-huh viv;typify;0.8;AZURE_VISION;but sunbathe govern;excepting frilly;dearest;prime;true;2025-12-20T09:58:30;2025-12-20T13:59:04;../fake-data/blob/hipster.txt;13899;32;23987;5049;32601;10298.59;2025-12-19T15:42:37;pigpen
8;COMPLETED;14173;atop;swathe tightly;bump supposing;boo card l;ha ferret;0.28;HYBRID;cork;minus story slight;huzzah;um;true;2025-12-20T09:52:27;2025-12-20T05:57:51;../fake-data/blob/hipster.txt;19049;6;834;17944;7383;3148.84;2025-12-19T23:26:16;kosher boohoo
9;CANCELLED;25442;nor;vain unfortunately;section whose dock;yippee who;reasonable;0.04;OPENAI_VISION;if;astride;dull decide;atop everlasting;false;2025-12-20T02:51:03;2025-12-20T02:24:54;../fake-data/blob/hipster.txt;28828;10;2410;9482;13119;23204.27;2025-12-20T01:53:41;the
10;FAILED;13682;whoa;till;synergy zowie;far;casement u;1;GOOGLE_VISION;grave readjust;among;hamburger sorrowful woot;pepper;false;2025-12-20T01:15:52;2025-12-20T14:42:29;../fake-data/blob/hipster.txt;30569;48;9667;24546;28688;28910.03;2025-12-20T10:34:21;incidentally
