id;content;content_sha_256;s_3_content_key;s_3_bucket;page_number;language;word_count;has_structured_data;structured_data;structured_data_s_3_key;extracted_date
1;../fake-data/blob/hipster.txt;known;worthless whereas;hydrolyze which oh;27736;favorable;23856;true;../fake-data/blob/hipster.txt;ack homely;2025-12-29T10:48:01
2;../fake-data/blob/hipster.txt;ring abseil instantly;bah;formamide drum;7293;ugh aboard;28878;false;../fake-data/blob/hipster.txt;oblong broadly outflank;2025-12-29T15:16:25
3;../fake-data/blob/hipster.txt;yawningly catalog;yearly;beneath;30744;without be;10825;true;../fake-data/blob/hipster.txt;whenever;2025-12-29T19:07:41
4;../fake-data/blob/hipster.txt;usually ew wilt;immediately where including;on gently;3949;motivate b;23972;false;../fake-data/blob/hipster.txt;interviewer;2025-12-30T02:33:11
5;../fake-data/blob/hipster.txt;caring per;bah instead;bootleg unless;24958;advertisem;16903;true;../fake-data/blob/hipster.txt;timely;2025-12-29T08:06:52
6;../fake-data/blob/hipster.txt;under aggressive;ugh secret;yum indeed muscat;16363;aboard;29165;false;../fake-data/blob/hipster.txt;dish shakily;2025-12-30T01:34:06
7;../fake-data/blob/hipster.txt;deploy;pro before;traffic;20591;following ;21170;false;../fake-data/blob/hipster.txt;slipper outrun supplier;2025-12-29T22:47:20
8;../fake-data/blob/hipster.txt;within finally;suddenly though;blah yuck;22402;never;246;true;../fake-data/blob/hipster.txt;under;2025-12-29T06:38:20
9;../fake-data/blob/hipster.txt;gosh marksman;or;construe;26166;versus;27144;false;../fake-data/blob/hipster.txt;achieve gah closely;2025-12-29T09:45:16
10;../fake-data/blob/hipster.txt;denitrify;gosh;tarry where until;1579;acquaintan;12006;true;../fake-data/blob/hipster.txt;unzip onto for;2025-12-29T14:21:16
