id;name;endpoint;api_key;timeout;max_file_size;supported_languages;enable_ocr;ocr_engine;is_default;is_active;created_date
1;because;outrun whereas;quietly willow;28251;5361;transparency;false;aha portly butter;true;true;2025-12-08T00:00:52
2;lest furthermore;brr;fooey;10817;24496;waterlogged complete;true;those er;false;false;2025-12-08T06:48:39
3;meal;yum;but whereas;18679;476;easily scaffold settler;true;incidentally intrepid apostrophize;true;true;2025-12-07T19:30:25
4;cleaner ack unfit;sell;conceptualize;30049;9327;whereas;false;consequently;false;false;2025-12-08T09:13:03
5;gah boohoo minus;as wearily;unnecessarily;10136;17892;pulverize ah valley;true;downchange competent insignificant;false;true;2025-12-08T14:11:51
6;versus against;mount broken impact;rival jam-packed;28658;31015;only;false;best-seller yet;true;false;2025-12-08T08:49:30
7;triumphantly because;till;passport;8781;22882;pleasing;false;than though provided;false;true;2025-12-08T09:39:48
8;swine sarcastic lady;huzzah woot;beyond scoop questionably;18719;16250;truthfully yuck;true;meh embody;true;false;2025-12-08T06:40:53
9;manage foolish;frantically dilate;outside vivaciously;17787;11235;since upon;true;past;false;false;2025-12-07T19:44:31
10;near;institute;versus;12661;12849;putrefy yippee;false;pity nor legitimize;true;false;2025-12-07T21:41:56
