id;config_name;description;default_quality;default_format;default_dpi;default_conversion_type;default_priority;is_active;is_default;created_at;updated_at
1;dissemble;aw;MEDIUM;WEBP;714;PAGE_RANGE;5;true;false;2025-12-29T14:09:13;2025-12-29T21:57:29
2;midst;beneath plastic;ULTRA;PNG;985;PAGE_RANGE;1;true;true;2025-12-29T18:39:26;2025-12-29T10:35:44
3;naturally accompany;incidentally out;HIGH;WEBP;486;ALL_PAGES;3;true;true;2025-12-29T20:23:55;2025-12-30T02:56:21
4;annual zowie;lest fibre;MEDIUM;JPEG;408;SINGLE_PAGE;1;true;true;2025-12-29T16:59:15;2025-12-29T17:55:38
5;round;uh-huh until;HIGH;WEBP;515;ALL_PAGES;5;false;true;2025-12-30T03:45:37;2025-12-29T19:34:42
6;splash because;strait enthusiastically yum;MEDIUM;JPEG;818;ALL_PAGES;2;true;true;2025-12-30T05:31:14;2025-12-29T19:36:56
7;celebrate;shallow;ULTRA;JPEG;945;PAGE_RANGE;4;true;true;2025-12-29T21:15:38;2025-12-29T17:21:15
8;now hope although;extension;ULTRA;PNG;1043;PAGE_RANGE;2;false;false;2025-12-30T01:23:50;2025-12-29T21:02:25
9;final;cram equate whose;LOW;PNG;956;SINGLE_PAGE;5;true;true;2025-12-29T15:20:47;2025-12-29T09:32:56
10;record;hyphenation pike consequently;MEDIUM;PNG;881;PAGE_RANGE;4;false;false;2025-12-30T00:59:08;2025-12-30T01:43:16
