id;source_document_id;source_file_name;source_pdf_s_3_key;image_quality;image_format;conversion_type;start_page;end_page;total_pages;status;error_message;requested_at;started_at;completed_at;processing_duration;total_images_size;images_generated;dpi;requested_by_user_id;priority;additional_options
1;24261;whose;inveigle oil;HIGH;PNG;FIRST_PAGE_ONLY;15533;6037;3012;FAILED;as barring heavily;2025-12-29T16:12:35;2025-12-30T02:34:13;2025-12-30T03:59:46;19790;1091;574;711;23715;1;../fake-data/blob/hipster.txt
2;17784;accentuate;once faithfully;ULTRA;WEBP;FIRST_PAGE_ONLY;28883;10803;15461;FAILED;readies;2025-12-30T05:12:41;2025-12-30T00:12:39;2025-12-30T06:24:56;14349;9439;29622;318;28302;2;../fake-data/blob/hipster.txt
3;21832;clavicle why;thoughtfully ouch;HIGH;JPEG;SINGLE_PAGE;8171;13389;17463;PENDING;premise likewise;2025-12-29T07:11:06;2025-12-30T03:12:55;2025-12-29T08:25:19;26334;5874;26496;108;16866;3;../fake-data/blob/hipster.txt
4;30644;through rarely lest;usefully;LOW;PNG;PAGE_RANGE;21403;22779;27031;COMPLETED;coexist worth;2025-12-29T17:26:19;2025-12-30T06:14:47;2025-12-29T07:37:16;8072;7681;7306;802;2709;4;../fake-data/blob/hipster.txt
5;25254;although knowledgeably shadowbox;clearly presume convoke;ULTRA;WEBP;PAGE_RANGE;2014;29031;25842;PROCESSING;nocturnal;2025-12-30T04:40:57;2025-12-29T20:12:16;2025-12-29T08:48:03;23097;3238;14349;905;5486;3;../fake-data/blob/hipster.txt
6;29089;shyly hence appropriate;wherever fruitful intermarry;HIGH;PNG;PAGE_RANGE;16173;23765;17154;PROCESSING;adaptation lined;2025-12-30T03:02:59;2025-12-30T06:26:46;2025-12-29T19:14:53;2085;24593;2813;1122;29488;5;../fake-data/blob/hipster.txt
7;32185;consequently;tensely daily;LOW;WEBP;PAGE_RANGE;26282;15544;16083;PENDING;innocently cake oof;2025-12-30T00:58:02;2025-12-29T16:05:03;2025-12-29T17:57:53;15144;8101;566;604;15329;2;../fake-data/blob/hipster.txt
8;15371;lest slap;now certainly eminent;ULTRA;PNG;SINGLE_PAGE;13037;29431;1337;CANCELLED;filthy furiously how;2025-12-29T12:42:03;2025-12-30T04:25:12;2025-12-29T14:29:48;16969;24017;24082;185;10894;4;../fake-data/blob/hipster.txt
9;15808;yippee yippee instead;slipper stable;HIGH;WEBP;FIRST_PAGE_ONLY;5411;23862;10510;FAILED;notwithstanding founder;2025-12-29T17:10:56;2025-12-29T09:26:00;2025-12-29T15:21:49;6962;25593;4445;933;14648;3;../fake-data/blob/hipster.txt
10;4465;what thyme keenly;however final numeric;HIGH;PNG;FIRST_PAGE_ONLY;10878;8052;22649;CANCELLED;joyous;2025-12-29T10:41:08;2025-12-29T10:49:44;2025-12-29T16:59:41;27867;17540;7082;278;7463;2;../fake-data/blob/hipster.txt
