id;name;description;user_id;is_public;layout;refresh_interval;is_default;created_date
1;unimpressively qua;../fake-data/blob/hipster.txt;mouser scamper;false;../fake-data/blob/hipster.txt;4154;true;2025-12-25T08:30:30
2;searchingly video;../fake-data/blob/hipster.txt;unless once between;false;../fake-data/blob/hipster.txt;23430;false;2025-12-24T15:37:45
3;whoa hoof;../fake-data/blob/hipster.txt;gasp ick;false;../fake-data/blob/hipster.txt;24764;true;2025-12-25T06:51:40
4;scenario pish;../fake-data/blob/hipster.txt;quick-witted dimly above;false;../fake-data/blob/hipster.txt;2821;true;2025-12-24T16:58:23
5;bashfully although;../fake-data/blob/hipster.txt;innocently;true;../fake-data/blob/hipster.txt;12236;false;2025-12-24T12:54:41
6;whose;../fake-data/blob/hipster.txt;finally;true;../fake-data/blob/hipster.txt;21638;false;2025-12-25T05:04:38
7;alligator excepting exactly;../fake-data/blob/hipster.txt;broadside huzzah highlight;false;../fake-data/blob/hipster.txt;18336;true;2025-12-24T15:31:23
8;into;../fake-data/blob/hipster.txt;descriptive ripe list;false;../fake-data/blob/hipster.txt;19353;true;2025-12-24T23:20:40
9;brochure;../fake-data/blob/hipster.txt;where ack supposing;true;../fake-data/blob/hipster.txt;14172;true;2025-12-25T03:45:13
10;sit frizzy;../fake-data/blob/hipster.txt;boastfully;true;../fake-data/blob/hipster.txt;32078;false;2025-12-25T03:44:59
