id;dashboard_id;widget_type;title;configuration;data_source;position;size_x;size_y;dashboard_id
1;15186;STORAGE_USAGE;astride trustworthy monasticism;../fake-data/blob/hipster.txt;what;6741;32265;10546;1
2;3885;CHART_BAR;foodstuffs reiterate passport;../fake-data/blob/hipster.txt;reflate dream unibody;732;10811;12123;2
3;28735;STORAGE_USAGE;sanity;../fake-data/blob/hipster.txt;suckle unless;14390;28286;3580;3
4;28680;USER_ACTIVITY;sesame peony;../fake-data/blob/hipster.txt;tough shell;4155;3566;16678;4
5;17385;USER_ACTIVITY;squeaky;../fake-data/blob/hipster.txt;matter;30286;10072;28635;5
6;2206;CHART_LINE;deserted whoa;../fake-data/blob/hipster.txt;every gloomy;15118;24229;11986;6
7;25495;TIMELINE;weight partially;../fake-data/blob/hipster.txt;atop brood;3267;18488;10169;7
8;21662;RECENT_UPLOADS;excitable e-mail;../fake-data/blob/hipster.txt;amendment;14047;25832;14180;8
9;2261;TABLE;light hm;../fake-data/blob/hipster.txt;whereas less;136;23093;30874;9
10;15295;CHART_AREA;who cheap;../fake-data/blob/hipster.txt;drat lest;2269;26226;15628;10
