id;scheduled_report_id;status;start_date;end_date;records_processed;output_s_3_key;output_size;error_message;scheduled_report_id
1;5453;COMPLETED;2025-12-24T16:27:37;2025-12-24T14:18:39;17628;oh gracious;16393;../fake-data/blob/hipster.txt;1
2;18371;CANCELLED;2025-12-25T02:35:42;2025-12-25T01:52:03;11644;creaking if;8149;../fake-data/blob/hipster.txt;2
3;15815;COMPLETED;2025-12-25T10:11:07;2025-12-24T23:03:03;30198;ack as pish;19117;../fake-data/blob/hipster.txt;3
4;7504;PENDING;2025-12-25T08:56:29;2025-12-24T21:58:28;20595;almighty;19262;../fake-data/blob/hipster.txt;4
5;14689;PENDING;2025-12-24T21:14:56;2025-12-25T05:12:27;3283;gah object trained;20952;../fake-data/blob/hipster.txt;5
6;20617;RUNNING;2025-12-25T06:39:27;2025-12-25T04:53:26;29125;though pure than;2139;../fake-data/blob/hipster.txt;6
7;29226;PENDING;2025-12-25T03:24:45;2025-12-24T18:59:29;20113;vice;14376;../fake-data/blob/hipster.txt;7
8;11271;FAILED;2025-12-24T20:52:15;2025-12-25T03:18:56;29012;bashfully;30306;../fake-data/blob/hipster.txt;8
9;28001;FAILED;2025-12-24T23:08:54;2025-12-24T15:17:42;4751;innocently mom disarm;18178;../fake-data/blob/hipster.txt;9
10;1555;PENDING;2025-12-24T14:36:37;2025-12-24T10:30:56;22496;who enchanted shush;13833;../fake-data/blob/hipster.txt;10
