id;metric_name;metric_type;value;unit;service_name;timestamp
1;lightly finally;STORAGE_IOPS;22967.55;outgoing;subtle;2025-12-29T14:04:57
2;form anenst via;CONCURRENT_USERS;5676.8;who and curiously;who;2025-12-29T22:44:36
3;acidly questionably;SEARCH_LATENCY;4033.11;why of;unlucky caption mob;2025-12-29T21:58:27
4;lend sew;ERROR_RATE;28047.33;if unto;bah about;2025-12-29T23:23:42
5;coast violin;API_RESPONSE_TIME;31814.96;searchingly yum;come;2025-12-30T05:26:14
6;posh who;SEARCH_LATENCY;3152.34;wring awesome whoa;ouch;2025-12-30T05:06:34
7;handover boss;OCR_DURATION;4957.73;zowie unexpectedly;apt;2025-12-30T05:15:42
8;helplessly;API_RESPONSE_TIME;16187.51;that;like and coexist;2025-12-29T08:36:16
9;sport turret;API_RESPONSE_TIME;14507.95;psst;stiffen championship;2025-12-29T12:32:18
10;unwieldy amnesty unbearably;THROUGHPUT;31990.7;boohoo venture legen;forenenst oh;2025-12-30T03:38:05
