id;metric_name;cpu_usage;memory_usage;disk_usage;network_in;network_out;active_connections;timestamp
1;meaty gadzooks long;15376.13;4316.13;22096.68;19049;19535;7453;2025-12-29T07:51:24
2;alongside while;4530.32;20393.47;19449.18;9753;24332;19712;2025-12-29T06:38:14
3;though factorise;3683.81;24913.01;31111.9;11924;12291;22948;2025-12-29T10:02:08
4;ah afore newsletter;9134.44;14966.01;25595.31;26696;5631;18482;2025-12-29T18:50:58
5;lumpy bug whether;24760.4;1977.89;2748.83;30076;10020;7447;2025-12-29T17:12:49
6;for stingy sorrowful;4419.42;31813.12;7873.13;10934;1526;19913;2025-12-29T09:25:19
7;near before;19581.33;2194.59;28019.53;29845;31035;978;2025-12-29T09:21:02
8;ack distinct whenever;325.48;831.77;4118.4;14975;8661;13253;2025-12-29T16:15:45
9;however fairly;26335.32;17133.96;13547.77;23347;319;31135;2025-12-29T20:00:58
10;stable finally;22019.94;12851.63;7283.75;24576;24669;4864;2025-12-29T07:03:07
