id;metric_name;cpu_usage;memory_usage;disk_usage;network_in;network_out;active_connections;timestamp
1;sleepily circa;30817.91;14300.99;9045.7;1619;25078;22923;2025-12-20T09:13:07
2;under;2484.87;25345.54;7463.87;30458;17658;18407;2025-12-20T08:46:41
3;whose and ride;30282.22;31950.11;3703.83;15476;19739;12014;2025-12-20T07:58:05
4;merry;1427.97;2935.98;5341.82;4802;23473;18647;2025-12-20T03:49:37
5;bright;12224.29;26309.19;9389.39;12824;30659;1006;2025-12-19T21:20:14
6;morning except pro;13151.91;11460.99;22767.25;4892;6585;14438;2025-12-20T12:52:15
7;ack underneath;23810.93;20839.87;16627.53;3983;20208;21744;2025-12-19T20:12:04
8;noisily via;16696.25;28165.62;9976.23;11987;26645;3691;2025-12-20T03:18:19
9;how normal eek;11791.98;7943.44;8149.38;5128;27827;24092;2025-12-20T07:50:09
10;drat;26515.03;15759.53;6994.96;12563;16696;23475;2025-12-20T06:08:23
