id;name;description;total_jobs;completed_jobs;total_pages;status;created_by;created_date
1;yippee;../fake-data/blob/hipster.txt;18734;18255;8423;PARTIAL;ha camouflage oof;2025-12-24T21:55:07
2;psst apropos ugh;../fake-data/blob/hipster.txt;26176;30206;2700;PARTIAL;opposite t-shirt but;2025-12-25T00:01:05
3;discrete lightly outside;../fake-data/blob/hipster.txt;31836;23976;5338;PARTIAL;neatly receptor;2025-12-25T06:52:13
4;gut executor;../fake-data/blob/hipster.txt;18158;20447;7741;PENDING;throbbing federate license;2025-12-25T07:44:56
5;gratefully nice;../fake-data/blob/hipster.txt;14044;2876;16174;COMPLETED;even trusty;2025-12-25T01:29:39
6;bliss border;../fake-data/blob/hipster.txt;30781;3899;10350;IN_PROGRESS;than;2025-12-24T19:14:38
7;buzzing;../fake-data/blob/hipster.txt;28771;17588;13726;PENDING;whoever recede wholly;2025-12-25T09:57:12
8;under;../fake-data/blob/hipster.txt;14514;31148;7511;FAILED;colorfully corral firsthand;2025-12-24T10:37:14
9;restfully ill;../fake-data/blob/hipster.txt;31894;17805;27123;IN_PROGRESS;yuck politely and;2025-12-24T14:26:40
10;unless;../fake-data/blob/hipster.txt;14828;22716;24363;FAILED;correctly excepting what;2025-12-25T10:08:59
