id;search_query_id;facet_name;facet_type;values;counts
1;21775;alb;NUMBER_RANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
2;12569;than while drat;HIERARCHY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
3;10195;bah;NUMBER_RANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
4;6646;among below longingly;DATE_RANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
5;31442;pupil sedately towards;NUMBER_RANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
6;590;rowdy even gosh;HIERARCHY;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
7;28810;that aw or;TERMS;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
8;25510;readily;NESTED;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
9;15725;boo bright ew;NUMBER_RANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
10;724;eulogise;NUMBER_RANGE;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt
