id;document_sha_256;indexed_content;metadata;tags;correspondents;extracted_entities;indexed_date;last_updated
1;jaunty scowl;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;definitive;woot begonia;../fake-data/blob/hipster.txt;2025-12-29T16:24:23;2025-12-30T05:56:49
2;pear ugh;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;the outgoing phooey;decongestant until cemetery;../fake-data/blob/hipster.txt;2025-12-29T09:10:19;2025-12-30T00:07:25
3;degrease;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;cheerful brr;plain rapidly;../fake-data/blob/hipster.txt;2025-12-30T05:44:59;2025-12-29T21:40:35
4;yak;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;provided ordinary;refine;../fake-data/blob/hipster.txt;2025-12-30T01:25:42;2025-12-29T07:38:58
5;embed;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;onto;that;../fake-data/blob/hipster.txt;2025-12-30T00:23:04;2025-12-30T03:27:12
6;bind testify for;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;whose alb scruple;polished;../fake-data/blob/hipster.txt;2025-12-29T13:34:14;2025-12-29T23:53:08
7;elementary cleverly while;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;onto stabilise;after yet;../fake-data/blob/hipster.txt;2025-12-29T17:52:01;2025-12-30T01:13:10
8;until among;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;intervention source;kissingly;../fake-data/blob/hipster.txt;2025-12-29T22:25:54;2025-12-30T04:34:44
9;appliance luck;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;vanish;woeful pish;../fake-data/blob/hipster.txt;2025-12-30T00:20:45;2025-12-30T01:38:36
10;carelessly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;yesterday;scent;../fake-data/blob/hipster.txt;2025-12-29T17:02:43;2025-12-29T08:04:18
