id;query;query_embedding;results;relevance_scores;model_used;execution_time;user_id;search_date
1;mysteriously foolishly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;intrepid;28430;plus before yarmulke;2025-12-29T15:08:28
2;community mid wrongly;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;key;28966;wordy if;2025-12-30T05:12:29
3;besides um;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;as;10235;although solace;2025-12-29T08:45:40
4;far-off mobilise pitiful;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;unfurl;29011;including lest despite;2025-12-29T18:01:43
5;pale doting;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;concerning gah thorough;12177;gust per;2025-12-29T15:50:52
6;window respray between;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;brr;23185;loyally director;2025-12-30T01:21:24
7;psst lobster;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;rotating;31281;amongst whereas;2025-12-29T09:31:10
8;beneath;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;times superficial testify;2773;before;2025-12-29T20:55:09
9;yum resolve seriously;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;once unto reluctantly;9589;giggle neaten forgather;2025-12-30T02:52:31
10;however impact appertain;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;../fake-data/blob/hipster.txt;generally draft ha;16670;supposing;2025-12-29T13:28:32
