id;name;description;algorithm;centroid;document_count;avg_similarity;created_date;last_updated
1;alongside;../fake-data/blob/hipster.txt;JACCARD;../fake-data/blob/hipster.txt;5529;0.81;2025-12-24T15:27:54;2025-12-25T08:47:48
2;jump duh asset;../fake-data/blob/hipster.txt;DEEP_LEARNING;../fake-data/blob/hipster.txt;23229;0.66;2025-12-24T22:48:53;2025-12-24T19:17:35
3;chubby;../fake-data/blob/hipster.txt;LEVENSHTEIN;../fake-data/blob/hipster.txt;930;0.24;2025-12-25T09:20:22;2025-12-25T00:44:11
4;ultimately than tightly;../fake-data/blob/hipster.txt;LSH;../fake-data/blob/hipster.txt;32217;0.85;2025-12-25T10:01:37;2025-12-25T03:01:39
5;suffocate linseed;../fake-data/blob/hipster.txt;DEEP_LEARNING;../fake-data/blob/hipster.txt;7472;0.69;2025-12-24T10:33:20;2025-12-25T10:20:20
6;godparent;../fake-data/blob/hipster.txt;LEVENSHTEIN;../fake-data/blob/hipster.txt;1780;0.34;2025-12-24T14:21:01;2025-12-24T12:58:59
7;joint collaborate considering;../fake-data/blob/hipster.txt;JACCARD;../fake-data/blob/hipster.txt;2877;0.57;2025-12-24T16:51:13;2025-12-25T07:24:12
8;ecstatic beside gadzooks;../fake-data/blob/hipster.txt;JACCARD;../fake-data/blob/hipster.txt;23167;0.1;2025-12-24T11:35:09;2025-12-24T21:11:07
9;drat giving;../fake-data/blob/hipster.txt;COMBINED;../fake-data/blob/hipster.txt;1833;0.26;2025-12-25T02:11:34;2025-12-24T13:59:47
10;council;../fake-data/blob/hipster.txt;COMBINED;../fake-data/blob/hipster.txt;8902;0.17;2025-12-24T15:51:52;2025-12-24T11:54:36
