id;document_id;compression_type;quality;target_size_kb;original_size;compressed_size;compression_ratio;output_s_3_key;output_document_id;status;start_date;end_date;error_message;created_by;created_date
1;4315;LOSSY;69;11948;32731;4215;29719.58;festival unblinking;32559;PENDING;2025-12-20T02:47:54;2025-12-20T04:33:26;../fake-data/blob/hipster.txt;following;2025-12-19T20:08:14
2;14614;ADAPTIVE;25;15873;25760;5119;479.67;nasalise;4112;PENDING;2025-12-20T14:55:23;2025-12-20T09:04:48;../fake-data/blob/hipster.txt;quiet sell hence;2025-12-19T20:08:19
3;13539;LOSSLESS;20;13382;8099;30118;1920.81;a at whoa;9272;COMPLETED;2025-12-20T08:57:04;2025-12-20T13:01:14;../fake-data/blob/hipster.txt;the;2025-12-20T15:23:01
4;19150;LOSSLESS;33;11936;13197;15806;13825.12;elderly oh anti;19297;COMPLETED;2025-12-20T14:55:11;2025-12-20T13:32:21;../fake-data/blob/hipster.txt;across whenever;2025-12-20T01:09:18
5;6416;ADAPTIVE;44;4472;30272;2593;297.34;doubtfully gladly for;19594;FAILED;2025-12-20T02:18:24;2025-12-20T11:49:45;../fake-data/blob/hipster.txt;geez;2025-12-20T01:28:16
6;26730;LOSSLESS;1;4070;17608;12092;4619.05;onto gosh cultivated;6535;FAILED;2025-12-20T07:08:01;2025-12-20T04:15:25;../fake-data/blob/hipster.txt;yummy ew fill;2025-12-19T19:22:16
7;9303;ADAPTIVE;5;30542;23199;31880;25072.24;SUV;4157;PROCESSING;2025-12-20T03:58:29;2025-12-20T00:03:22;../fake-data/blob/hipster.txt;fat amid judgementally;2025-12-19T16:43:47
8;23598;LOSSY;55;1022;26871;12759;11491.76;down safely save;19065;PROCESSING;2025-12-20T05:56:41;2025-12-20T02:59:51;../fake-data/blob/hipster.txt;forenenst internalise;2025-12-20T00:38:22
9;10033;LOSSLESS;90;13224;12983;5381;30022.56;whoa unimportant cooperative;24302;COMPLETED;2025-12-19T23:23:39;2025-12-20T00:33:34;../fake-data/blob/hipster.txt;blah circulate restaurant;2025-12-19T23:43:47
10;19261;LOSSLESS;81;22110;11553;5216;11794.03;short-term goose;26090;PENDING;2025-12-19T16:55:12;2025-12-20T02:00:28;../fake-data/blob/hipster.txt;where;2025-12-19T21:11:21
