id;document_id;redaction_areas;redaction_type;redaction_color;replace_with;output_s_3_key;output_document_id;status;start_date;end_date;error_message;created_by;created_date
1;27398;../fake-data/blob/hipster.txt;BLACK_BOX;stall d;instead absent;intermarry;10425;FAILED;2025-12-20T05:11:34;2025-12-19T21:09:25;../fake-data/blob/hipster.txt;meh generously;2025-12-19T22:04:16
2;8270;../fake-data/blob/hipster.txt;BLUR;grouchy;consequently delicious kit;boohoo verbally;16704;COMPLETED;2025-12-20T14:16:23;2025-12-20T14:22:35;../fake-data/blob/hipster.txt;aha;2025-12-20T08:37:07
3;31547;../fake-data/blob/hipster.txt;BLUR;fiddle;qua honestly from;gleefully wherever;16331;COMPLETED;2025-12-20T09:44:03;2025-12-20T04:55:49;../fake-data/blob/hipster.txt;impeccable acidly instantly;2025-12-20T15:11:24
4;17873;../fake-data/blob/hipster.txt;PIXELATE;consequ;often uneven atop;vice skeletal;2344;PENDING;2025-12-19T22:34:24;2025-12-19T23:07:53;../fake-data/blob/hipster.txt;eek;2025-12-20T01:54:58
5;11635;../fake-data/blob/hipster.txt;WHITE_BOX;reel ap;clamour circular astride;amid mortally mallard;12280;PENDING;2025-12-20T13:32:17;2025-12-20T03:16:31;../fake-data/blob/hipster.txt;wherever astride;2025-12-20T05:05:18
6;20745;../fake-data/blob/hipster.txt;PATTERN;after;er tinderbox;hm nun meh;23652;COMPLETED;2025-12-20T13:34:08;2025-12-19T23:19:43;../fake-data/blob/hipster.txt;shipper behind aside;2025-12-20T14:46:46
7;19656;../fake-data/blob/hipster.txt;WHITE_BOX;scary u;address operating;gallivant lock;7019;PROCESSING;2025-12-19T16:34:31;2025-12-20T00:18:39;../fake-data/blob/hipster.txt;ape furthermore heavily;2025-12-19T18:20:10
8;30254;../fake-data/blob/hipster.txt;PIXELATE;except ;federate truly ostrich;unimpressively unfortunately;32555;CANCELLED;2025-12-20T12:55:57;2025-12-20T10:24:33;../fake-data/blob/hipster.txt;after;2025-12-20T06:36:15
9;17724;../fake-data/blob/hipster.txt;PIXELATE;elevato;phony compete;giant correctly;2701;COMPLETED;2025-12-20T15:17:32;2025-12-20T10:32:21;../fake-data/blob/hipster.txt;nun hmph;2025-12-20T01:33:13
10;3948;../fake-data/blob/hipster.txt;WHITE_BOX;alarmed;phooey;reboot;22283;PROCESSING;2025-12-19T19:27:29;2025-12-20T05:52:52;../fake-data/blob/hipster.txt;aw ajar maul;2025-12-20T06:54:16
