id;document_id;watermark_type;watermark_text;watermark_image_s_3_key;position;opacity;font_size;color;rotation;tiled;output_s_3_key;output_document_id;status;start_date;end_date;error_message;created_by;created_date
1;13306;INVISIBLE;deflate physically aged;scoop incidentally;CENTER;74;12942;black;13755;true;even babushka;3299;COMPLETED;2025-12-24T12:57:40;2025-12-24T14:29:11;../fake-data/blob/hipster.txt;as unless;2025-12-24T22:10:52
2;24024;IMAGE;um;instead instead;TOP_CENTER;39;27869;tan;2952;true;slump ugh yowza;9621;PROCESSING;2025-12-24T12:43:23;2025-12-24T17:22:32;../fake-data/blob/hipster.txt;across innocently;2025-12-24T19:05:07
3;24768;INVISIBLE;er;onto but crumble;TILED;48;1382;black;28118;true;vice finally;20238;PROCESSING;2025-12-24T14:47:17;2025-12-24T15:22:03;../fake-data/blob/hipster.txt;when unbearably;2025-12-24T12:59:09
4;13651;TEXT;even;favorable angle anti;CUSTOM;23;8142;white;25993;true;under;25299;FAILED;2025-12-24T15:33:37;2025-12-25T03:54:41;../fake-data/blob/hipster.txt;premier jubilantly enrich;2025-12-24T10:30:07
5;16082;IMAGE;soggy whose;gee zowie;BOTTOM_CENTER;27;24056;fuchsia;19673;true;expatiate cellar for;24892;FAILED;2025-12-24T15:16:39;2025-12-24T10:43:28;../fake-data/blob/hipster.txt;ick ack;2025-12-25T08:49:57
6;29396;IMAGE;never the stage;forage;CENTER;62;2721;pink;3100;true;suspiciously;4314;COMPLETED;2025-12-24T22:27:08;2025-12-25T05:56:13;../fake-data/blob/hipster.txt;crocodile;2025-12-25T04:07:58
7;19337;INVISIBLE;apropos on verbally;when finally;BOTTOM_CENTER;23;25292;yellow;925;true;generally till;8434;FAILED;2025-12-24T11:37:55;2025-12-25T03:19:42;../fake-data/blob/hipster.txt;arrogantly beyond so;2025-12-25T01:52:32
8;16313;QR_CODE;inquisitively off bashfully;deflect fully whenever;DIAGONAL;95;28729;magenta;19991;false;until;31399;CANCELLED;2025-12-24T13:45:05;2025-12-25T10:11:02;../fake-data/blob/hipster.txt;dash;2025-12-25T09:16:24
9;9383;IMAGE;blissfully closely guest;gah poorly round;BOTTOM_RIGHT;40;16893;grey;26876;true;amendment in scary;26941;FAILED;2025-12-25T04:27:05;2025-12-24T12:03:59;../fake-data/blob/hipster.txt;unless if;2025-12-24T16:06:56
10;29388;QR_CODE;reflate;growing middle inspection;BOTTOM_CENTER;48;21952;purple;14436;false;whoa till precious;28232;PENDING;2025-12-24T20:15:11;2025-12-25T05:10:45;../fake-data/blob/hipster.txt;truthfully before;2025-12-24T14:42:21
