id;name;description;version;is_active;is_parallel;auto_start;trigger_event;configuration;created_date;last_modified_date;created_by
1;self-confidence;../fake-data/blob/hipster.txt;7475;false;true;false;yet scary;../fake-data/blob/hipster.txt;2025-12-20T12:27:55;2025-12-19T22:26:43;so
2;which attend;../fake-data/blob/hipster.txt;19602;false;true;false;once boohoo neglect;../fake-data/blob/hipster.txt;2025-12-20T08:21:31;2025-12-20T00:07:24;kookily foot
3;beret;../fake-data/blob/hipster.txt;6439;true;false;false;whose gadzooks;../fake-data/blob/hipster.txt;2025-12-20T02:13:10;2025-12-19T16:13:04;phooey rigid
4;draft intently rich;../fake-data/blob/hipster.txt;2910;true;true;false;submitter off;../fake-data/blob/hipster.txt;2025-12-20T13:52:22;2025-12-20T05:58:43;what victoriously blend
5;space oblong;../fake-data/blob/hipster.txt;13022;true;false;false;and;../fake-data/blob/hipster.txt;2025-12-20T02:56:46;2025-12-19T18:23:32;via gruesome
6;fictionalize which possible;../fake-data/blob/hipster.txt;11381;true;true;true;official republican morning;../fake-data/blob/hipster.txt;2025-12-20T05:24:09;2025-12-20T08:20:05;merrily soliloquy
7;midst;../fake-data/blob/hipster.txt;32754;false;false;false;ligate for;../fake-data/blob/hipster.txt;2025-12-20T08:38:27;2025-12-20T07:38:12;bah short
8;corporation pure;../fake-data/blob/hipster.txt;23427;true;true;true;notarize fondly refute;../fake-data/blob/hipster.txt;2025-12-19T23:25:02;2025-12-20T02:52:29;although although
9;aha;../fake-data/blob/hipster.txt;1078;false;false;false;enthusiastically consequently;../fake-data/blob/hipster.txt;2025-12-20T09:47:32;2025-12-19T22:17:40;crowded inure before
10;midst biodegradable;../fake-data/blob/hipster.txt;24092;true;false;true;tame;../fake-data/blob/hipster.txt;2025-12-20T12:07:17;2025-12-20T10:00:57;yahoo
