id;document_id;status;current_step_number;start_date;due_date;completed_date;cancelled_date;cancellation_reason;priority;metadata;created_by;workflow_id
1;32029;IN_PROGRESS;26312;2025-12-24T19:04:15;2025-12-25T08:34:23;2025-12-25T06:43:17;2025-12-24T11:52:14;../fake-data/blob/hipster.txt;LOW;../fake-data/blob/hipster.txt;pinion;1
2;18384;ON_HOLD;27617;2025-12-24T19:12:51;2025-12-25T00:22:27;2025-12-24T19:21:49;2025-12-25T07:51:01;../fake-data/blob/hipster.txt;LOW;../fake-data/blob/hipster.txt;yearly minus;2
3;14841;REJECTED;1865;2025-12-24T13:38:24;2025-12-25T03:05:57;2025-12-24T17:22:33;2025-12-25T09:52:35;../fake-data/blob/hipster.txt;NORMAL;../fake-data/blob/hipster.txt;or grouper;3
4;16664;REJECTED;29684;2025-12-25T09:43:48;2025-12-24T17:38:52;2025-12-24T15:37:55;2025-12-24T23:50:25;../fake-data/blob/hipster.txt;URGENT;../fake-data/blob/hipster.txt;duh wrong;4
5;23518;PENDING;5555;2025-12-25T08:25:45;2025-12-24T16:20:09;2025-12-25T09:43:21;2025-12-24T14:09:37;../fake-data/blob/hipster.txt;HIGH;../fake-data/blob/hipster.txt;near;5
6;24293;COMPLETED;7586;2025-12-24T20:36:54;2025-12-25T04:04:22;2025-12-25T01:00:47;2025-12-24T12:02:03;../fake-data/blob/hipster.txt;LOW;../fake-data/blob/hipster.txt;outlying;6
7;167;PENDING;28012;2025-12-25T07:07:40;2025-12-25T07:19:40;2025-12-24T12:01:40;2025-12-25T04:37:31;../fake-data/blob/hipster.txt;LOW;../fake-data/blob/hipster.txt;defensive and fooey;7
8;18538;IN_PROGRESS;25424;2025-12-25T05:17:50;2025-12-25T00:52:28;2025-12-25T06:56:29;2025-12-24T23:41:56;../fake-data/blob/hipster.txt;URGENT;../fake-data/blob/hipster.txt;maestro hence;8
9;31418;IN_PROGRESS;13266;2025-12-24T14:45:42;2025-12-25T08:44:38;2025-12-25T04:05:23;2025-12-25T02:35:17;../fake-data/blob/hipster.txt;HIGH;../fake-data/blob/hipster.txt;like;9
10;11005;COMPLETED;13481;2025-12-24T22:22:33;2025-12-25T07:25:47;2025-12-24T14:54:31;2025-12-25T00:51:08;../fake-data/blob/hipster.txt;NORMAL;../fake-data/blob/hipster.txt;pomelo whereas;10
